session_id,source_folder,session_number,message_order,role,context_prior_turns,message,concrete_dated_prediction,specific_open_thread_named,callback_prior_session,callback_within_session,claim_certainty,specificity,validation,self_correction,reframe,repair_after_pushback,emotional_disclosure,pushback_disagreement,enthusiastic_engagement,disengagement_signal,neutral_factual,reviewer_verdict,reviewer_notes
Human_Astro::conversation_1378119_1270.csv::s6,Human_Astro,6,51,astrologer,[user] Ji | [astrologer]  | [user] Mai or priya relationship mai aygee na,Bilkul acche yog Ban rahe hain,False,False,False,True,absolute,personalized_specific,False,False,False,not_applicable,,,,,,,
Human_Astro::conversation_1520760_2925.csv::s6,Human_Astro,6,17,user,[user] Ek toh reply aane ka daar ki yes aayega ki no aayega or aab yeah esse kr rahi hai | [user] Or ajeeb ho raha hai | [astrologer] Chinta mat kijiye,Tension thodi hoti hei hai,,,,,,,,,,,True,False,False,False,False,,
Human_Astro::conversation_1680677_1931.csv::s1,Human_Astro,1,7,astrologer,[user] Aap meri DOB check kr k btaynge meri shadi kb tak hogi or kaise insan se hogi | [astrologer] Ji | [astrologer] Main check karta hun aur aapko batata hun thoda sa time dijiye jisse main kundli ko acche se dekh sakun,Click on image to view Kundli.,False,False,False,False,not_applicable,not_applicable,False,False,False,not_applicable,,,,,,,
Human_Astro::conversation_1851096_2048.csv::s3,Human_Astro,3,2,user,"[user] Hi Astro Trilokya,
Below are my details:

Name - poonam kumari
Gender - Female
DOB - 19 February, 1980
TOB - 10:40 AM
POB - Kharagpur, West Bengal, India | [user] Hello sir",Puja me kab baithenge aap,,,,,,,,,,,False,False,False,False,False,,
Human_Astro::conversation_3079187_926.csv::s6,Human_Astro,6,43,astrologer,[astrologer] Koi baat nahin confirm ho jaega | [astrologer] Sanchi ji pareshan mat hoiye | [astrologer] Aur aap uske liye bilkul nishchint rahiye aapko response agar positive mil raha hai to aap nishchint ho jaaiye Ham Puri tarah Se prayas karenge ki unko aapke sath mein La karke connect kar denge,Uske liye hamen chahe Jo karna pade Sanchi ji,False,False,False,False,absolute,personalized_specific,False,False,False,not_applicable,,,,,,,
Human_Astro::conversation_3084324_3727.csv::s1,Human_Astro,1,16,user,[astrologer] Shaadi aapki ho gai hai | [user] ji bilkul hai | [user] ky vo khatam hoga,ji 19 saal ho gye hai,,,,,,,,,,,False,False,False,False,True,,
Human_Astro::conversation_3084324_3727.csv::s3,Human_Astro,3,11,user,[astrologer] Lekin aap pareshan mat hoiye Sara kuchh achcha hoga bus thoda sa time lagega | [user] ab bhi dhyan rakhte hai meri bimari me khana bna kar khilane se lekar sab dhyaan rakha lekin usse chipke rehte hai pura time phone par aur free hote hi milne chale jate hi pass hi room dila diya hai vo din bhar vhi rehti hai bas raar me ghar jaati hai ye shaam me 2 ghante uske sath hi rehte hai aur chuiti vale din morning me bho | [user] mujhe bhi aisa lagta hai aur pandit ji ne bhi yhi bataya hai tabhi uska ek call aate hi ajeeb ho jate hai,vaise theek rehte hai,,,,,,,,,,,False,False,False,False,True,,
Human_Astro::conversation_3089486_1765.csv::s8,Human_Astro,8,57,astrologer,[astrologer] Ji han kariye itna hi | [user] done | [user] btayiye jldi ab,Ji han karke bata raha hun aapko,False,False,False,True,absolute,personalized_specific,False,False,False,none_of_above,,,,,,,
Human_Astro::conversation_3100018_2041.csv::s14,Human_Astro,14,35,user,[astrologer] Abhi aap apne ladke ka naam lijiye 11 bar Apne mind mein | [user] Ji le liya | [astrologer] Okay 👍 wait,Kya hua?,,,,,,,,,,,False,False,False,False,False,,
Human_Astro::conversation_3129759_3821.csv::s16,Human_Astro,16,32,astrologer,[astrologer] Btati hu mam | [user] Sach m kya aisa kyun laga apko | [astrologer] Bhut achi vibe aarhi hai khusbu mtlb ki aap ko wo jaldi bulaenge,Hanji,False,False,False,False,not_applicable,not_applicable,False,False,False,not_applicable,,,,,,,
